indice,TimeStamp,RocketName,freq,counter,state,gps_latitude,gps_longitude,altitude,apogee,voltageMon,last_ack,last_nack,RSSI,SNR,PacketLength
177,14:46:33,<2>,921,172,IDLE_SAFE,15.036214,100.912368,119.1705,9.2219,0,3,0,-109,-0.5,72
178,14:46:35,<2>,921,173,IDLE_SAFE,15.036214,100.912368,118.889,9.2219,0,3,0,-108,0.5,72
179,14:46:37,<2>,921,174,IDLE_SAFE,15.036214,100.912368,119.2101,9.2219,0,3,0,-111,-2.5,72
180,14:46:39,<2>,921,175,IDLE_SAFE,15.036214,100.912368,119.1587,9.2219,0,3,0,-110,-1.5,72
181,14:46:41,<2>,921,176,IDLE_SAFE,15.036214,100.912368,119.1402,9.2219,0,3,0,-112,-2.25,72
182,14:46:43,<2>,921,177,IDLE_SAFE,15.036214,100.912368,119.2245,9.2219,0,3,0,-114,-4.25,72
183,14:46:45,<2>,921,178,IDLE_SAFE,15.036214,100.912368,119.001,9.2219,0,3,0,-110,-1.5,72
184,14:46:51,<2>,921,181,IDLE_SAFE,15.036214,100.912368,118.7478,9.2219,0,3,0,-118,-9.25,72
185,14:46:53,<2>,921,182,IDLE_SAFE,15.036214,100.912368,118.9276,9.2219,0,3,0,-115,-5.5,72
186,14:46:59,<2>,921,185,IDLE_SAFE,15.036214,100.912368,118.9373,9.2219,0,3,0,-114,-4.25,72
187,14:47:03,<2>,921,187,IDLE_SAFE,15.036214,100.912368,118.9368,9.2219,0,3,0,-113,-3.5,72
188,14:47:05,<2>,921,188,IDLE_SAFE,15.036214,10<.912368,118.8736,9.2219,0,3,0,-120,-11.25,72
189,14:47:07,<2>,921,188,IDLE_SAFE,15.036214,10<.912368,118.8736,9.2219,0,3,0,-120,-11.25,72
190,14:47:09,<2>,921,188,IDLE_SAFE,15.036214,10<.912368,118.8736,9.2219,0,3,0,-120,-11.25,72
191,14:47:11,<2>,921,191,IDLE_SAFE,15.034983,100.915798,119.1433,9.2219,0,3,0,-120,-11,72
